Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,0.00,0.34,0.23,66.7,0.35,0.23,0.00,0.00,16.2,0.00,0.00,0.00,0.05,0.05,0.12,-0.05,-0.05,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,0.68,2.58,1.13,43.7,2.58,1.13,0.22,0.50,11.8,0.00,0.12,0.15,0.60,0.49,0.20,0.08,0.07,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,0.00,1.67,0.00,0.0,1.76,0.00,0.00,,21.5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,0.05,0.22,0.11,50.0,0.22,0.11,0.25,0.50,11.3,0.00,0.00,0.00,0.02,0.02,0.07,0.04,0.04,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,0.06,0.60,0.30,50.0,0.60,0.30,0.10,0.20,11.7,0.00,0.00,0.00,0.05,0.05,0.08,0.01,0.01,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,0.00,0.69,0.00,0.0,0.69,0.00,0.00,,13.0,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,28.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
486,Mario Vranèiæ\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,0.14,1.97,0.42,21.4,1.98,0.42,0.07,0.33,18.2,0.28,0.00,0.00,0.24,0.24,0.12,-0.10,-0.10,Matches
487,Matìj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,0.22,1.98,1.10,55.6,1.98,1.10,0.11,0.20,12.7,0.00,0.00,0.00,0.41,0.41,0.21,-0.19,-0.19,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,0.14,1.96,0.70,35.7,1.96,0.70,0.07,0.20,15.9,0.00,0.00,0.00,0.20,0.20,0.10,-0.06,-0.06,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,0.04,0.49,0.11,23.1,0.49,0.11,0.08,0.33,26.6,0.04,0.00,0.00,0.04,0.04,0.08,0.00,0.00,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,0.00,0.26,0.00,0.0,0.26,0.00,0.00,,17.0,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,0.00,0.37,0.00,0.0,0.37,0.00,0.00,,21.9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,0.00,0.26,0.03,11.1,0.26,0.03,0.00,0.00,17.3,0.00,0.00,0.00,0.03,0.03,0.10,-0.03,-0.03,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,0.00,0.19,0.04,20.0,0.19,0.04,0.00,0.00,14.0,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,0.13,1.42,0.61,42.6,1.42,0.61,0.07,0.17,22.5,0.63,0.03,0.08,0.18,0.12,0.09,-0.05,-0.02,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,0.10,0.54,0.24,43.8,0.54,0.24,0.19,0.43,13.2,0.00,0.00,0.00,0.04,0.04,0.07,0.06,0.06,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,0.22,2.31,0.99,42.9,2.30,0.99,0.10,0.22,10.7,0.00,0.00,0.00,0.36,0.36,0.16,-0.14,-0.14,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,0.06,0.37,0.09,23.1,0.37,0.09,0.15,0.67,19.3,0.06,0.00,0.00,0.03,0.03,0.09,0.02,0.02,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,0.91,3.64,1.82,50.0,3.75,1.87,0.25,0.50,12.3,0.00,0.00,0.00,1.18,1.18,0.33,-0.27,-0.27,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,0.12,1.10,0.46,41.7,1.10,0.46,0.11,0.27,15.1,0.00,0.00,0.00,0.10,0.10,0.09,0.03,0.03,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,0.12,0.84,0.36,42.9,0.84,0.36,0.14,0.33,19.5,0.00,0.00,0.00,0.04,0.04,0.04,0.08,0.08,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,0.09,0.54,0.18,33.3,0.54,0.18,0.17,0.50,13.0,0.00,0.00,0.00,0.06,0.06,0.12,0.03,0.03,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,0.00,2.69,0.38,14.3,2.74,0.39,0.00,0.00,21.4,0.00,0.00,0.00,0.12,0.12,0.04,-0.12,-0.12,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,0.31,2.32,0.90,38.8,2.32,0.90,0.07,0.19,18.9,0.28,0.14,0.14,0.25,0.14,0.06,0.07,0.03,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,0.11,1.47,0.42,28.6,1.47,0.42,0.07,0.25,15.3,0.00,0.00,0.00,0.24,0.24,0.17,-0.14,-0.14,Matches
507,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
508,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,0.25,1.67,0.68,40.7,1.67,0.68,0.15,0.36,11.2,0.00,0.00,0.00,0.31,0.31,0.19,-0.06,-0.06,Matches
509,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,0.38,2.95,1.04,35.2,2.95,1.04,0.13,0.37,19.8,0.66,0.00,0.00,0.25,0.25,0.08,0.14,0.14,Matches
510,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,24.7,0.00,0.57,0.08,14.3,0.57,0.08,0.00,0.00,24.3,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
511,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,27.1,0.52,2.36,1.03,43.8,2.36,1.03,0.20,0.46,10.1,0.00,0.04,0.04,0.48,0.45,0.19,0.04,0.03,Matches
512,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,0.03,0.38,0.10,27.3,0.38,0.10,0.09,0.33,23.8,0.00,0.00,0.00,0.01,0.01,0.03,0.02,0.02,Matches
513,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11.0,0.45,2.36,1.09,46.2,2.36,1.09,0.19,0.42,17.5,0.18,0.00,0.00,0.19,0.19,0.08,0.26,0.26,Matches
514,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,0.10,0.10,0.10,100.0,0.10,0.10,1.00,1.00,4.1,0.00,0.00,0.00,0.07,0.07,0.68,0.03,0.03,Matches
515,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,0.00,0.65,0.48,75.0,0.64,0.48,0.00,0.00,12.6,0.00,0.00,0.00,0.08,0.08,0.12,-0.08,-0.08,Matches
516,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,20.9,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
517,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,0.00,0.15,0.00,0.0,0.15,0.00,0.00,,12.2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
518,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,0.11,1.68,0.47,27.9,1.67,0.47,0.07,0.24,15.8,0.00,0.00,0.00,0.15,0.15,0.09,-0.04,-0.04,Matches
519,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15.9,0.00,0.38,0.06,16.7,0.38,0.06,0.00,0.00,14.7,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
520,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,0.00,1.13,0.21,18.8,1.13,0.21,0.00,0.00,25.6,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
521,Richairo Živkoviæ\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,1.2,0.00,0.83,0.00,0.0,0.80,0.00,0.00,,13.9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
522,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,26.0,0.00,0.58,0.19,33.3,0.58,0.19,0.00,0.00,11.0,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
